percent_share,expected_share,RCA,iso_3digit_alpha,country_name_full,product_description
0.1852,0.00956,19,ASM,American Samoa,"Buttons and button moulds, studs, etc."
1.1172,0.08558,13,ASM,American Samoa,"Raw cotton, other than linters"
0.18345,0.01767,10,ASM,American Samoa,Cutting blades for machines
1.54907,0.1502,10,ASM,American Samoa,"Poultry, incl. offals ex. liver fresh, chilled, frozen"
0.9366,0.00325,288,AND,Andorra,Leather of goat and kid skins
7.94451,0.03452,230,AND,Andorra,Essential oils and resinoids
0.95988,0.00489,196,AND,Andorra,Other leather
1.14799,0.0125,92,AND,Andorra,Calf leather
5.31931,0.06285,85,AND,Andorra,Leather of other bovine cattle & equine leather
0.91767,0.01233,74,AND,Andorra,Cigarette paper cut to size
1.88445,0.02682,70,AND,Andorra,"Unissued postage stamps, banknotes, simil. docum."
0.00687,0.00011,60,AND,Andorra,Tapestries
1.40759,0.04514,31,AND,Andorra,"Cycles, not motorized"
9.72178,0.31265,31,AND,Andorra,Orthopaedic appl. artificial parts of the body
2.8792,0.00917,314,AGO,Angola,Industrial diamonds
0.03037,0.00194,16,AGO,Angola,Improved wood
83.75397,5.5729,15,AGO,Angola,Crude petroleum
4.69048,0.56258,8,AGO,Angola,"Diamonds, not industrial, not set or strung"
0.07498,0.00979,8,AGO,Angola,"Granite, porphyry, sandstone, etc."
0.20041,0.05597,4,AGO,Angola,"Machinery parts, non electrical, n.e.s."
0.03649,0.01178,3,AGO,Angola,"Bran, pollard, sharps & other by products"
0.41026,0.13302,3,AGO,Angola,Oils & other prod. of the  distillation/coal tar
4.98899,1.70342,3,AGO,Angola,"Gas, natural"
0.05879,0.02768,2,AGO,Angola,Flour of wheat or of meslin
0.20656,0.00235,88,ATG,Antigua and Barbuda,"Articles of tin, n.e.s."
38.79925,0.44848,87,ATG,Antigua and Barbuda,"Ships and boats, other than warships"
0.22933,0.01315,17,ATG,Antigua and Barbuda,Quaternary ammonium salts and hydroxides
1.51398,0.1222,12,ATG,Antigua and Barbuda,"Rice, glazed or polished, not further prepared"
1.87337,0.20386,9,ATG,Antigua and Barbuda,"Maize (corn), unmilled"
46.6401,5.81302,8,ATG,Antigua and Barbuda,NA
0.01668,0.00261,6,ATG,Antigua and Barbuda,Percussion musical instruments
0.18111,0.03001,6,ATG,Antigua and Barbuda,Fatty acids; acid oils from refining
0.0296,0.00588,5,ATG,Antigua and Barbuda,"Seeds of anise, badian, fennel, coriander, cumin et"
0.70423,0.14196,5,ATG,Antigua and Barbuda,"Tubes and pipes of iron or steel, seamless"
0.00314,0.00016,19,AZE,Azerbaijan,Waste & used leather
0.93987,0.05001,19,AZE,Azerbaijan,"Tomatoes, fresh"
0.17577,0.01115,16,AZE,Azerbaijan,Peat briquettes & peat
0.01251,0.00085,15,AZE,Azerbaijan,Cotton seed oil
75.41842,5.5729,14,AZE,Azerbaijan,Crude petroleum
0.05535,0.00647,9,AZE,Azerbaijan,"Nuts, bolts, screws, rivets, washers of copper"
0.65951,0.07837,8,AZE,Azerbaijan,Other fresh fruit
0.00569,0.00068,8,AZE,Azerbaijan,"Sheep and lamb skins, without the wool"
0.0062,0.00078,8,AZE,Azerbaijan,"Grape must, in fermentation or with ferm. arrested"
0.41644,0.05556,7,AZE,Azerbaijan,Methyl alcohol /methanol/
0.12767,0.00105,121,ARG,Argentina,Mate
5.30392,0.04892,108,ARG,Argentina,Soya bean oil
13.95835,0.17866,78,ARG,Argentina,Oil seed cake & meal & other veg. Oil residues
0.20046,0.00257,78,ARG,Argentina,Groundnut /peanut/ oil
0.35646,0.00577,62,ARG,Argentina,Vegetable prod. of a kind used for animal food
0.09768,0.0019,51,ARG,Argentina,Tanning extracts of vegetable origin
9.52133,0.20386,47,ARG,Argentina,"Maize (corn), unmilled"
0.11361,0.00246,46,ARG,Argentina,"Meat of horses, asses, mules & hinnies, fr.ch.fro."
0.72605,0.01759,41,ARG,Argentina,"Groundnuts peanuts green, ex. flour and meal"
0.45183,0.01178,38,ARG,Argentina,"Bran, pollard, sharps & other by products"
0.73897,0.01658,45,AUS,Australia,"Sheeps and lambs wool, greasy or fleece washed"
24.79709,0.72512,34,AUS,Australia,Iron ore & concentrates ex roasted iron pyrites
0.06032,0.00201,30,AUS,Australia,"Sheep and lamb skins, with the wool on"
2.26821,0.09175,25,AUS,Australia,Aluminium oxide and hydroxide
0.35451,0.01443,25,AUS,Australia,"Mineral substances, n.e.s."
1.08529,0.04456,24,AUS,Australia,"Meat of sheep & goats, fresh, chilled or frozen"
16.05719,0.70709,23,AUS,Australia,"Coal /anthracite, bituminous/"
0.06601,0.00384,17,AUS,Australia,"Sheeps and lambs wool, degreased"
0.48539,0.03371,14,AUS,Australia,Bauxite and concentrates of aluminium
0.02971,0.00212,14,AUS,Australia,"Pumice stone, emery, nat. corundum & mat. abrasives"
0.59935,0.01711,35,AUT,Austria,"Discont  regener. Fibres, not carded or combed"
0.14675,0.00488,30,AUT,Austria,Revolvers and pistols
0.15596,0.00573,27,AUT,Austria,Railway & tramway service vehicles
0.03915,0.00163,24,AUT,Austria,"Date, sealing & similar stamps, etc."
0.28187,0.01233,23,AUT,Austria,Cigarette paper cut to size
0.11304,0.00506,22,AUT,Austria,Molybdenum
0.00431,0.00019,22,AUT,Austria,Discont regen. fibres or waste carded or combed
0.26758,0.01345,20,AUT,Austria,Rails of iron or steel
0.00888,5.00E-04,18,AUT,Austria,"Terry fabrics of cotton, bleached, dyed, etc."
0.09616,0.00561,17,AUT,Austria,Ingots of alloy steel
2.25108,0.02064,109,BHS,Bahamas,Gravel & crushed stone
2.13857,0.02104,102,BHS,Bahamas,Salt
44.07852,0.44848,98,BHS,Bahamas,"Ships and boats, other than warships"
5.07507,0.05597,91,BHS,Bahamas,"Machinery parts, non electrical, n.e.s."
0.04789,0.00083,58,BHS,Bahamas,Coral and shells and their wastes
0.04733,0.00114,42,BHS,Bahamas,"Tanks, etc. for storage or manuf. use of aluminium"
2.61495,0.06607,40,BHS,Bahamas,Petr. bitumen & other petrol.& shale oil resid.
1.34266,0.04754,28,BHS,Bahamas,"Hand tools, etc. n.e.s."
5.09674,0.20536,25,BHS,Bahamas,"Crustacean & molluscs, fresh, chilled, salted, dried"
5.84855,0.25497,23,BHS,Bahamas,Imide and imine function compounds
3.61102,0.02547,142,BHR,Bahrain,Sponge iron or steel
0.86305,0.0087,99,BHR,Bahrain,"Wire, cables, ropes etc. not insulated, aluminium"
0.07835,0.00104,75,BHR,Bahrain,"Sulphur, sublimed or precipitated; colloidal sul."
12.10891,0.29193,41,BHR,Bahrain,"Aluminium and aluminium alloys, unwrought"
4.00341,0.10994,36,BHR,Bahrain,"Bars, rods, angles, shapes and wire of aluminium"
0.05942,0.00187,32,BHR,Bahrain,Ingots iron or steel not high carbon or alloy
0.1123,0.00385,29,BHR,Bahrain,Aluminium powders and flakes
0.14163,0.00585,24,BHR,Bahrain,Natural asphalt & natural bitumen
0.3156,0.01345,23,BHR,Bahrain,Rails of iron or steel
0.43706,0.01977,22,BHR,Bahrain,Yarn of glass fibre
1.01592,0.00518,196,BGD,Bangladesh,Flax or ramie yarn not put up for retail sale
0.26577,0.00145,183,BGD,Bangladesh,Jute & waste
0.17321,0.00122,142,BGD,Bangladesh,"Jute fabrics, woven"
5.56203,0.09733,57,BGD,Bangladesh,"Men�s/boy�s under garments, not knitted/crochet."
0.17938,0.00344,52,BGD,Bangladesh,"Used or new rags, scrap cordage or worm out art."
20.56362,0.40582,51,BGD,Bangladesh,"Under garments knitted, not elast. Nor rubberd"
17.97603,0.39523,45,BGD,Bangladesh,"Mens and boys outer garments, not knitted"
23.87348,0.79109,30,BGD,Bangladesh,"Outer garments knitted, not elast. Nor rubberd"
16.99437,0.64216,26,BGD,Bangladesh,"Womens, girls & infts outer garmts, not knitted"
0.70275,0.03128,22,BGD,Bangladesh,"Headgear, knitted/crocheted of textile, no felt"
29.57241,0.32293,92,ARM,Armenia,Ores and concentrates of copper
0.67739,0.00762,89,ARM,Armenia,Watch cases and parts thereof
7.80371,0.13871,56,ARM,Armenia,Cigarettes
0.05647,0.00105,54,ARM,Armenia,"Infusorial earths, etc."
0.41221,0.00833,49,ARM,Armenia,"Cider & fermented beverages, n.e.s."
6.8881,0.16085,43,ARM,Armenia,Other ferro alloys
2.88069,0.06973,41,ARM,Armenia,Aluminium foil
7.23424,0.19111,38,ARM,Armenia,Distilled alcoholic beverages
0.32439,0.01213,27,ARM,Armenia,"Clock and watch parts, n.e.s."
2.84807,0.10884,26,ARM,Armenia,"Waste & sweepings of silver, platinum group met."
7.02279,0.07202,98,BRB,Barbados,Cement
2.21461,0.02789,79,BRB,Barbados,Paper and paperboard labels
2.06115,0.03,69,BRB,Barbados,"Margarine, imitn lard & prepared edible fats n.e.s."
10.94774,0.19111,57,BRB,Barbados,Distilled alcoholic beverages
0.18291,0.00386,47,BRB,Barbados,Cereal meal & groats excl. Of wheat or meslin
0.38187,0.00947,40,BRB,Barbados,"Bituminous mixt. based on asphalt, petroleum, etc."
1.89206,0.05232,36,BRB,Barbados,"Ethyl alcohol, undenatured and den. spirits"
0.20297,0.00585,35,BRB,Barbados,Natural asphalt & natural bitumen
15.3868,0.44848,34,BRB,Barbados,"Ships and boats, other than warships"
0.60774,0.02222,27,BRB,Barbados,Road rail and similar containers
0.02407,0.00147,16,BEL,Belgium,Linseed oil
0.07751,0.00546,14,BEL,Belgium,Flax and flax tow and waste
0.02116,0.00164,13,BEL,Belgium,Master alloys of copper
0.05255,0.00493,11,BEL,Belgium,"Moulded or carved art .of wax, gums & nat. resins"
0.03152,0.00315,10,BEL,Belgium,Dolomite
0.00625,0.00064,10,BEL,Belgium,"Ceramic piping, conduits and guttering"
0.08029,0.00863,9,BEL,Belgium,Gluten and gluten flour
1.00705,0.11211,9,BEL,Belgium,"Vegetables, frozen"
0.03716,0.0042,9,BEL,Belgium,Caustic potash; peroxides of potassium / sodium
0.00024,3.00E-05,8,BEL,Belgium,Silk worm cocoons suitable for reeling
80.23987,0.90841,88,BMU,Bermuda,"Aircraft, heavier than air"
0.32257,0.00893,36,BMU,Bermuda,Parts and accessories of musical instruments
1.70175,0.07693,22,BMU,Bermuda,"Special purpose lorries, trucks and vans"
6.34586,0.44848,14,BMU,Bermuda,"Ships and boats, other than warships"
0.05055,0.00425,12,BMU,Bermuda,"Cine. Cameras, projectors, sound recorders etc."
0.27902,0.02475,11,BMU,Bermuda,"Tarpaulins, tents, awnings, sails, etc."
0.12953,0.01794,7,BMU,Bermuda,"Antiques, n.e.s."
0.02348,0.00346,7,BMU,Bermuda,Lead waste and scrap
0.07297,0.01104,7,BMU,Bermuda,Art .incorporating pearls of semi & precious st.
0.13801,0.02141,6,BMU,Bermuda,Warships of all kinds
9.71001,0.00315,3087,BTN,Bhutan,Dolomite
5.4354,0.00835,651,BTN,Bhutan,Gypsum and plasters
3.72177,0.00978,381,BTN,Bhutan,Other carbides
52.37332,0.16085,326,BTN,Bhutan,Other ferro alloys
1.67444,0.00665,252,BTN,Bhutan,"Nutmeg, mace & cardamoms"
5.69298,0.07202,79,BTN,Bhutan,Cement
0.40029,0.00582,69,BTN,Bhutan,Limestone flux & calcer. stone used for lime
8.57223,0.15381,56,BTN,Bhutan,Blooms etc iron or steel not high carb or alloy
0.5858,0.02337,25,BTN,Bhutan,Waters(incl.spa waters);ice and snow
0.19673,0.01256,16,BTN,Bhutan,Marble and other calcareous monu. or build. Stone
0.33642,0.00097,346,BOL,Plurinational State of Bolivia,Ores & concentrates of tungsten
0.10002,3.00E-04,337,BOL,Plurinational State of Bolivia,Hat bodies of wool felt and fur felt
0.48776,0.00199,245,BOL,Plurinational State of Bolivia,Crude natural borates
13.54312,0.05837,232,BOL,Plurinational State of Bolivia,Ores and concentrates of zinc
4.13043,0.02457,168,BOL,Plurinational State of Bolivia,"Tin and tin alloys, unwrought"
5.44627,0.04645,117,BOL,Plurinational State of Bolivia,"Ores & conc. of silver, platinum, etc."
1.0813,0.0105,103,BOL,Plurinational State of Bolivia,"Cereals, unmilled, n.e.s"
2.53514,0.03355,76,BOL,Plurinational State of Bolivia,Ores and concentrates of lead
2.82237,0.04892,58,BOL,Plurinational State of Bolivia,Soya bean oil
0.16458,0.00369,45,BOL,Plurinational State of Bolivia,Other ores & conc. of non-ferrous base metals.
0.25195,0.00194,130,BIH,Bosnia Herzegovina,Improved wood
0.3214,0.00268,120,BIH,Bosnia Herzegovina,Sulphides (incl. polysulphides)
1.51287,0.01371,110,BIH,Bosnia Herzegovina,Hunting and sporting ammunition
0.16621,0.00221,75,BIH,Bosnia Herzegovina,Calf skins and kip skins
1.25443,0.02241,56,BIH,Bosnia Herzegovina,Neutral sodium carbonate (soda ash)
0.19643,0.00363,54,BIH,Bosnia Herzegovina,Mineral tar
2.416,0.04552,53,BIH,Bosnia Herzegovina,"Uppers, legs & other prepared parts of footwear"
0.3609,0.00745,48,BIH,Bosnia Herzegovina,Other salts & peroxysalts of inorganic acids
2.02811,0.04553,45,BIH,Bosnia Herzegovina,"Coke & semi coke of coal, of lignite or of peat"
1.25271,0.02839,44,BIH,Bosnia Herzegovina,"Gauze, netting, grill, fencing wire of iron steel"
88.90215,0.56258,158,BWA,Botswana,"Diamonds, not industrial, not set or strung"
0.82555,0.02241,37,BWA,Botswana,Neutral sodium carbonate (soda ash)
0.31699,0.00917,35,BWA,Botswana,Industrial diamonds
0.51899,0.02104,25,BWA,Botswana,Salt
0.00209,0.00016,13,BWA,Botswana,"Lard stearin and lard oil, etc."
0.06583,0.00575,11,BWA,Botswana,"Trimmings, tapes, etc., not elastic"
0.03582,0.00346,10,BWA,Botswana,Lead waste and scrap
0.00386,5.00E-04,8,BWA,Botswana,"Terry fabrics of cotton, bleached, dyed, etc."
1.22257,0.28427,4,BWA,Botswana,"Meat of bovine animals, fresh, chilled or frozen"
0.01527,0.00386,4,BWA,Botswana,Cereal meal & groats excl. Of wheat or meslin
0.04728,0.00105,45,BRA,Brazil,Vegetable waxes
11.34502,0.30287,37,BRA,Brazil,Soya beans
0.03544,0.00105,34,BRA,Brazil,Mate
2.12769,0.06697,32,BRA,Brazil,"Raw sugar, beet & cane"
3.19543,0.1502,21,BRA,Brazil,"Poultry, incl. offals ex. liver fresh, chilled, frozen"
0.03499,0.00191,18,BRA,Brazil,"Ambergris, civet, musk, etc."
3.24155,0.18506,18,BRA,Brazil,"Sulphate wood pulp, bleached, not dissolving"
0.43789,0.02564,17,BRA,Brazil,"Pig iron, including cast iron"
0.04739,0.00283,17,BRA,Brazil,"Spirits of turpentine, etc."
0.40824,0.02535,16,BRA,Brazil,"Blooms, billets, slab of alloy steel"
0.44751,0.00069,653,BLZ,Belize,"Plans/drawings for indust. purposes, not printed"
2.28433,0.00606,377,BLZ,Belize,Molasses
19.99708,0.06697,299,BLZ,Belize,"Raw sugar, beet & cane"
13.81532,0.07867,176,BLZ,Belize,"Bananas including plantains ,fresh"
8.3479,0.08293,101,BLZ,Belize,"Fruit juices & vegetable juices, unfermented"
1.07267,0.01178,91,BLZ,Belize,"Bran, pollard, sharps & other by products"
0.34305,0.00386,89,BLZ,Belize,Cereal meal & groats excl. Of wheat or meslin
2.79105,0.05487,51,BLZ,Belize,"Beans, peas, lentils & leguminous vegetable. dried"
0.27439,0.00577,48,BLZ,Belize,Vegetable prod. of a kind used for animal food
0.20413,0.00474,43,BLZ,Belize,"Pearls, not set or strung"
0.1028,0.00201,51,IOT,British Indian Ocean Territories,"Sheep and lamb skins, with the wool on"
90.07996,5.5729,16,IOT,British Indian Ocean Territories,Crude petroleum
5.79509,0.41865,14,IOT,British Indian Ocean Territories,"Fish, fresh, chilled or frozen"
0.07246,0.00588,12,IOT,British Indian Ocean Territories,"Seeds of anise, badian, fennel, coriander, cumin et"
0.02297,0.0036,6,IOT,British Indian Ocean Territories,Chlorites and hypochlorites
0.03594,0.00577,6,IOT,British Indian Ocean Territories,Castor oil
0.02458,0.00431,6,IOT,British Indian Ocean Territories,Fish waste
0.0435,0.02982,1,IOT,British Indian Ocean Territories,Bags and sacks of textile materials
0.01538,0.01151,1,IOT,British Indian Ocean Territories,"Domestic or decorative articles of wood, n.e.s."
0.0183,0.0164,1,IOT,British Indian Ocean Territories,Slide fasteners and parts thereof
65.43336,0.03574,1831,SLB,Solomon Islands,"Sawlogs & veneer logs, in the rough non conifer"
0.13083,0.00035,370,SLB,Solomon Islands,"Copra, ex. flour and meal"
8.22402,0.03371,244,SLB,Solomon Islands,Bauxite and concentrates of aluminium
10.45217,0.09929,105,SLB,Solomon Islands,Prepared or preserved fish incl. caviar
0.93898,0.01323,71,SLB,Solomon Islands,Coconut copra oil
0.04593,0.00083,55,SLB,Solomon Islands,Coral and shells and their wastes
0.94326,0.02006,47,SLB,Solomon Islands,Veneer sheets
0.50019,0.01363,37,SLB,Solomon Islands,Palm kernel oil
1.41419,0.05089,28,SLB,Solomon Islands,"Cocoa beans, raw or roasted"
0.06453,0.00272,24,SLB,Solomon Islands,"Coin other than gold ,not being legal tender"
52.24493,0.44848,116,VGB,British Virgin Islands,"Ships and boats, other than warships"
1.36069,0.02177,62,VGB,British Virgin Islands,Tugs
2.32671,0.04338,54,VGB,British Virgin Islands,Other precious & semi precious stones not set
0.32785,0.00769,43,VGB,British Virgin Islands,Other halogens
0.11306,0.00304,37,VGB,British Virgin Islands,"Shot, angular grit & wire pellets of iron/steel"
2.35372,0.09071,26,VGB,British Virgin Islands,"Paintings, drawings, pastels, executed by hand"
12.6593,0.90841,14,VGB,British Virgin Islands,"Aircraft, heavier than air"
6.86619,0.56258,12,VGB,British Virgin Islands,"Diamonds, not industrial, not set or strung"
1.12858,0.09526,12,VGB,British Virgin Islands,Electric sound or visual signalling apparatus
0.10782,0.00912,12,VGB,British Virgin Islands,Type writer & similar ribbons & ink pads
2.49051,0.05556,45,BRN,Brunei Darussalam,Methyl alcohol /methanol/
47.9698,1.70342,28,BRN,Brunei Darussalam,"Gas, natural"
0.02049,0.00164,12,BRN,Brunei Darussalam,Parachutes
0.04261,0.00524,8,BRN,Brunei Darussalam,Other string musical instruments
37.43503,5.5729,7,BRN,Brunei Darussalam,Crude petroleum
0.67763,0.14061,5,BRN,Brunei Darussalam,Fork lift trucks for moving goods within plant
0.62451,0.13302,5,BRN,Brunei Darussalam,Oils & other prod. of the  distillation/coal tar
0.07966,0.01834,4,BRN,Brunei Darussalam,Technical models for demonstrating
0.01984,0.00631,3,BRN,Brunei Darussalam,Tungsten / wolfram
0.84149,0.32417,3,BRN,Brunei Darussalam,Other hydrocarbons
0.0848,0.00037,227,BGR,Bulgaria,"Iron pyrites, unroasted"
0.02522,0.00028,90,BGR,Bulgaria,"Poultry liver, fresh, chilled, frozen salted"
1.74811,0.04645,38,BGR,Bulgaria,"Ores & conc. of silver, platinum, etc."
2.42265,0.06599,37,BGR,Bulgaria,Blister copper and other unrefined copper
0.04316,0.0013,33,BGR,Bulgaria,Fruit in temporary preservative
0.60022,0.02241,27,BGR,Bulgaria,Neutral sodium carbonate (soda ash)
0.18677,0.00811,23,BGR,Bulgaria,"Yarn combed sheeps lambs wool, not for retail"
0.95968,0.04214,23,BGR,Bulgaria,"Plates, sheets and strip of copper"
0.05754,0.00272,21,BGR,Bulgaria,"Coin other than gold ,not being legal tender"
0.17045,0.0085,20,BGR,Bulgaria,Wool tops
0.00711,3.00E-05,235,MMR,Myanmar,Silk worm cocoons suitable for reeling
0.11877,6.00E-04,197,MMR,Myanmar,Peel of melons & citrus fruit not pres by sugar
2.44496,0.01745,140,MMR,Myanmar,"Rice in the husk or not, not further prepared"
0.67519,0.0069,98,MMR,Myanmar,"Compounds & mixtures, n.e.s of thorium, uranium etc"
0.0029,3.00E-05,86,MMR,Myanmar,"Yarn horsehair or coarse anim hair, not retail"
0.02652,0.00038,70,MMR,Myanmar,Airships & balloons
3.45246,0.05487,63,MMR,Myanmar,"Beans, peas, lentils & leguminous vegetable. dried"
0.04063,0.00068,60,MMR,Myanmar,"Human hair, unworked; waste of human hair"
0.30289,0.00515,59,MMR,Myanmar,Gas generators
0.22199,0.00582,38,MMR,Myanmar,"Vegetable products, fresh or dried, n.e.s."
0.86112,0.00097,885,BDI,Burundi,Ores & concentrates of tungsten
1.12326,0.00351,320,BDI,Burundi,Ores and concentrates of tin
8.00727,0.04186,191,BDI,Burundi,Tea
18.98657,0.1624,117,BDI,Burundi,"Coffee, green or roasted"
0.22532,0.00221,102,BDI,Burundi,Calf skins and kip skins
0.32366,0.00325,100,BDI,Burundi,Leather of goat and kid skins
3.90808,0.0507,77,BDI,Burundi,"Ores & conc. of titanium, vanadium, molybdem, etc."
0.17034,0.00369,46,BDI,Burundi,Other ores & conc. of non-ferrous base metals.
0.36677,0.01178,31,BDI,Burundi,"Bran, pollard, sharps & other by products"
1.07422,0.03899,28,BDI,Burundi,"Lead and lead alloys, unwrought"
8.75131,0.09356,94,BLR,Belarus,Potassic fertilizers and materials
1.36024,0.05562,24,BLR,Belarus,Butter
0.18916,0.00834,23,BLR,Belarus,Wallpaper and lincrusta
0.01919,0.00095,20,BLR,Belarus,Matches (excluding Bengal matches)
0.13223,0.00657,20,BLR,Belarus,Cont. Filament tow for manuf. discon. syn. fibres
0.64845,0.03737,17,BLR,Belarus,"Rape, colza and mustard oils"
3.11284,0.1797,17,BLR,Belarus,Cheese and curd
0.02509,0.00147,17,BLR,Belarus,Linseed oil
0.70832,0.04466,16,BLR,Belarus,Reconstituted wood  particle boards
0.55095,0.03631,15,BLR,Belarus,Mechanically propelled railway and tramway cars
1.08389,0.00766,142,KHM,Cambodia,"Fur skins, tanned or dressed"
1.2997,0.01392,93,KHM,Cambodia,"Roots & tubers, fresh or dried, sago pith"
0.26667,0.0066,40,KHM,Cambodia,"Women�s/inf. under garments, not knitted/crochet."
1.47819,0.04514,33,KHM,Cambodia,"Cycles, not motorized"
0.09685,0.00301,32,KHM,Cambodia,Textile fabrics coated with gum or amylaceous
25.23353,0.79109,32,KHM,Cambodia,"Outer garments knitted, not elast. Nor rubberd"
0.12032,0.00554,22,KHM,Cambodia,Copper matte
1.10398,0.0514,21,KHM,Cambodia,"Coconuts, brazil cashew nuts, fresh/dried"
8.50742,0.40582,21,KHM,Cambodia,"Under garments knitted, not elast. Nor rubberd"
0.1244,0.00671,19,KHM,Cambodia,"Animals, n.e.s."
12.21608,0.05089,240,CMR,Cameroon,"Cocoa beans, raw or roasted"
9.45667,0.05904,160,CMR,Cameroon,"Lumber, sawn lengthwise ,etc. non conifer"
4.82744,0.03574,135,CMR,Cameroon,"Sawlogs & veneer logs, in the rough non conifer"
1.07664,0.02006,54,CMR,Cameroon,Veneer sheets
1.72616,0.03247,53,CMR,Cameroon,Cocoa butter (fat or oil)
0.03635,0.00083,44,CMR,Cameroon,Beeswax and other insect waxes
2.36717,0.07867,30,CMR,Cameroon,"Bananas including plantains ,fresh"
0.04602,0.00194,24,CMR,Cameroon,Improved wood
0.31093,0.01654,19,CMR,Cameroon,"Ships, boats and other vessels for breaking up"
1.55072,0.08558,18,CMR,Cameroon,"Raw cotton, other than linters"
0.23176,0.01053,22,CAN,Canada,Semi chemical wood pulp
0.09319,0.00468,20,CAN,Canada,"Oats, unmilled"
0.24666,0.01272,19,CAN,Canada,"Catapults and sim. aircraft launching gear, etc."
0.06475,0.00349,19,CAN,Canada,Chlorates and perchlorates
0.59986,0.03737,16,CAN,Canada,"Rape, colza and mustard oils"
1.33589,0.09356,14,CAN,Canada,Potassic fertilizers and materials
0.48447,0.03489,14,CAN,Canada,Armoured fighting vehicles
0.01339,0.00104,13,CAN,Canada,"Sulphur, sublimed or precipitated; colloidal sul."
0.32063,0.02651,12,CAN,Canada,Newsprint paper
0.23899,0.0213,11,CAN,Canada,Laboratory & industrial art. Of precious metal
43.50554,0.09929,438,CPV,Cabo Verde,Prepared or preserved fish incl. caviar
1.64444,0.01806,91,CPV,Cabo Verde,Fishing and hunting equipment
27.72117,0.41865,66,CPV,Cabo Verde,"Fish, fresh, chilled or frozen"
3.01188,0.04552,66,CPV,Cabo Verde,"Uppers, legs & other prepared parts of footwear"
1.65542,0.03928,42,CPV,Cabo Verde,"Meat & fish meal, unfit for human consumption"
3.84073,0.20536,19,CPV,Cabo Verde,"Crustacean & molluscs, fresh, chilled, salted, dried"
0.21744,0.01195,18,CPV,Cabo Verde,Oils of fish and marine mammals
0.49538,0.04629,11,CPV,Cabo Verde,Glass tableware etc for household hotel etc
3.17549,0.40582,8,CPV,Cabo Verde,"Under garments knitted, not elast. Nor rubberd"
1.53714,0.20284,8,CPV,Cabo Verde,Iron & steel scrap
93.37746,0.44848,208,CYM,Cayman Islands,"Ships and boats, other than warships"
0.47689,0.00885,54,CYM,Cayman Islands,"Naturalists"" collections, collector numismatic p."
0.03004,0.00664,5,CYM,Cayman Islands,"Extracts, essences or conc. of tea or mate, etc."
0.0123,0.00346,4,CYM,Cayman Islands,Lead waste and scrap
0.5127,0.18506,3,CYM,Cayman Islands,"Sulphate wood pulp, bleached, not dissolving"
